title,application_id,participant_id,breweries_completed,trail_name,trail_year,trail_season,mini_tour,master_id,location_to_complete
1,6574d0f3f5d5b7a93ffc56b6,630224605487,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
2,6576479ee9be60ded14ff6c7,696066068774,5,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,8,10
3,6577633fd008d95cb84f4fb0,8675309,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,19,10
4,6577785277891ad0e6333753,584190302063,2,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
42,6578da55cc6064f88d3d0f9b,584186173728,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,49,12
43,6578da6df69f60c9b75d2eca,584186894677,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,50,12
5,6578dc9bcc8712035dc01895,584187812187,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,51,10
6,6578dd072c295e24f2fdcfa4,584186960212,2,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
7,6578dd7df1e276c37b9028a1,584190171495,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
8,6578dd9212605ec372cf4188,584186239267,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,53,10
9,6578dda836ac2b67f4803db1,584183879943,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,56,10
10,6578de1d98d8c59db0127152,584184535305,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,54,10
11,6578dedca3416c0f77268631,584185452863,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,55,10
12,6578e5e18bfdce23102e9059,584185387324,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,57,10
44,6578e69a8bfdce23102e905d,8675309,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,19,12
13,6578e94ab4748806f6c07be1,584184469774,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,58,10
14,6578e9616c2dcdc93aea5690,584183814404,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,59,10
15,6578e978115f2162f6743d9c,584198232568,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,62,10
16,6578ea0e6c2dcdc93aea5693,584198887906,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,61,10
17,6578ea5da52d5dd24ad59318,584183093523,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,60,10
18,6578eb44d46b0f46b9cd2098,584198167033,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,63,10
19,6578eb6be789a4a5079e75a4,584198822371,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,64,10
45,6578ec4c4b7da62841fee006,584195676627,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,66,12
20,6578ee2ab4748806f6c07e34,584183027984,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,94,10
21,6578ee406eb17ed81d6bc2f6,584196397508,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,65,10
22,6578ef4f979df2073a891f24,584195611088,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,67,10
23,6578ef65aecb3c5a27dfe1af,584197380597,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,68,10
46,6578ef69bc0c9ed7ed504e71,584196331973,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,71,12
24,6578eff19301dd793a2f38f7,584193186229,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,69,10
25,6578f018f14b6243cfdb3017,584193841599,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
26,6578f075bf59096badc7b853,584193776060,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
27,6578f098b6a126dc196e23a1,584193120650,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
28,6578f0bb39e955a799657c9e,584194890159,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
29,6578f0d079311767efd03820,584189581170,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
30,6578f16a59510ebd5f4db15e,584190695791,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
31,6578f2548c78e1d9f3a64287,584191351185,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
47,6578f26f0613a0d0da16ada9,584194759085,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,81,12
32,6578f26fa3117dd61a78f086,584192334214,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,72,10
33,6578f56d4d5f7f957976474a,584189646705,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,73,10
34,6578f71826200a2e4b3c509b,584191285144,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
35,6578f72d3baf3a9cd01b0628,584190367598,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,82,10
36,6578f7e15745626ac5c444c3,584192071835,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
37,6578f7f7af2bc144ab3cd0a2,584191154325,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,74,10
38,6578f80cc858d05473b050ee,584191088788,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,75,10
39,6578f8235d943de470fe68e7,584192006037,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,76,10
40,6578f8b9a0618d2b977ecf54,584192268679,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,77,10
41,6578f90194ad751e256b6fc4,584190630252,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
48,65790927ef2aa7567a126f9a,584193251509,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,85,10
49,65790caa3521ec83e29ff9f7,584195741907,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
50,65790cc001af929804513ef1,584196724930,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
51,65790d61191fca26404abe34,584187091031,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,86,10
52,65790d7bad518bd807a880f7,584187746393,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
53,65790d900ea8a41d1d794ce9,584183879686,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,95,10
54,65790dad57620c42e21ace74,584185452606,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,96,10
55,65790db54488509100dd5c06,584184797236,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
56,65790dc3b5dbcc0252a05806,584183814149,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
57,65790de11e23a4bb3089985c,584184731659,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
58,65790deb191fca26404abe43,584190302304,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
59,65790e67d0f0a7cd3d12c9e2,584185387069,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,87,10
60,65790e7c1e23a4bb30899865,584184863028,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,88,10
61,65790e925ea4432bcadeab2e,584183945478,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,89,10
62,65790ea80ac11978066473bd,584183290140,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
63,65790eee0140c22923ee3aab,584194169019,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
64,65790f10845c86ad3f9fa9d8,584194824365,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,97,10
65,65790f25dcb5ca9ebc445f6d,584190957674,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,103,10
66,65790f3721a53bdf738a2e5d,584191875224,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,98,10
67,65790f3e01af929804513f02,584192530562,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
68,65790f4d100563651abfaa1c,584190892137,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,104,10
69,65790f5336564e73650ee5e8,584191809695,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,105,10
70,65790f64191fca26404abe4d,584192465025,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,99,10
71,65790f810ea8a41d1d794cfc,584188598350,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,100,10
72,65790f8959e7d280a9f5d910,584189515900,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,106,10
73,65790f9fb316abc3fda68e2e,584190171238,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,111,10
74,65790fa4b895cac78af65631,584188532813,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,107,10
75,65790fb9a69c379ffcf153dd,584195676370,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,90,10
76,65790fcf47cec0f67001ba11,584197380340,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
77,65790fe58c1194d766971e72,584189450355,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
78,6579101f47cec0f67001ba13,584185518143,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
79,6579102821a53bdf738a2e67,584198297850,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
80,65791073bda267603c320670,584199280873,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
81,6579109458ff822cdcdc8e19,584183158803,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
82,657910ac092ba8269e87fa61,584198232313,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,91,10
83,657910d358ff822cdcdc8e1b,584190105701,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,92,10
84,657910eb36f0d58a077f6549,584186239010,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
85,65791dd8b042f077909ea64e,584197315018,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,116,10
86,657920970f81fe96ef2e62e1,584186370092,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,109,10
87,6579211c4b61f166921a2709,1018671279463,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,3,12
88,657924136c50f5cc9f01e934,584188926282,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,117,10
89,6579242eead78557cb091332,584183093266,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,118,10
90,65792452f16c8436d7c04161,584187287634,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,112,10
91,65792537d7a0d8a5731e082d,584188205377,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,113,10
92,6579254d2bc6f4b4ec3857b2,584188860747,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,115,10
93,65792563df0f680580f82bdd,584189843832,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
94,657925891cf5e5e826b37cc0,584185780538,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
95,6579259fed06c2d565fc0f9a,584186435884,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,119,10
96,657925c24356a3fe4b9d09a6,584199215336,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,121,10
97,657925e9f9bc4a621265383f,584194889902,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
98,65792600f9bc4a6212653841,584187418973,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
99,657932df61f123f055f39bac,584189909371,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,122,10
100,657932f551947618e4798c16,584185715003,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,123,10
101,6579369dad675aa2c9488836,584186370349,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
